epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,567.471,1.07441,2.47467,0.94606,0.56086,0.8421,0.68754,0.58533,0.60878,1.27841,0.84128,0.000237462,0.000237462,0.000237462
2,1202.5,0.74378,1.1369,0.85788,0.9292,0.9326,0.96585,0.84445,0.54593,0.69152,0.82882,0.000466047,0.000466047,0.000466047
3,1848.5,0.66996,0.79563,0.84728,0.97919,0.98405,0.99367,0.87432,0.54465,0.52904,0.82611,0.000685208,0.000685208,0.000685208
4,2453.35,0.63186,0.65433,0.84238,0.98824,0.99229,0.99443,0.90993,0.43599,0.40517,0.81394,0.000671588,0.000671588,0.000671588
5,3117.06,0.57866,0.56124,0.83072,0.99445,0.99386,0.99485,0.91107,0.43658,0.36876,0.81083,0.000657451,0.000657451,0.000657451
6,3774.26,0.55097,0.51611,0.82517,0.99186,0.99153,0.99433,0.92292,0.3949,0.34216,0.80308,0.000643314,0.000643314,0.000643314
7,4339.57,0.52619,0.46346,0.8228,0.99404,0.99476,0.99424,0.9321,0.3783,0.30713,0.7995,0.000629177,0.000629177,0.000629177
8,4879.97,0.50972,0.45108,0.81825,0.99723,0.99657,0.99481,0.92967,0.38101,0.29563,0.79792,0.00061504,0.00061504,0.00061504
9,5410.42,0.4931,0.42242,0.81577,0.99722,0.99693,0.99491,0.93499,0.37104,0.28606,0.79836,0.000600902,0.000600902,0.000600902
10,5929.86,0.48958,0.40883,0.81451,0.99687,0.99725,0.99498,0.94582,0.35024,0.27099,0.79831,0.000586765,0.000586765,0.000586765
11,6543.76,0.47093,0.39876,0.81219,0.9955,0.99599,0.9949,0.93776,0.37345,0.27796,0.79472,0.000572628,0.000572628,0.000572628
12,7177.47,0.45804,0.38276,0.80899,0.99871,0.99868,0.995,0.94655,0.33771,0.25716,0.78911,0.000558491,0.000558491,0.000558491
13,7718.04,0.45331,0.37312,0.80776,0.99818,0.99804,0.995,0.95311,0.3257,0.25178,0.78541,0.000544354,0.000544354,0.000544354
14,8210.3,0.44589,0.36692,0.80607,0.99837,0.99968,0.99485,0.9541,0.32335,0.23882,0.78315,0.000530216,0.000530216,0.000530216
15,8710.09,0.43553,0.35409,0.80222,0.99911,0.99936,0.995,0.95872,0.31163,0.23204,0.78434,0.000516079,0.000516079,0.000516079
16,9252.19,0.42675,0.34806,0.80232,0.99898,0.99884,0.99484,0.95124,0.32217,0.23733,0.78029,0.000501942,0.000501942,0.000501942
17,9802.16,0.42211,0.34301,0.80073,0.99915,0.99907,0.99495,0.96257,0.29952,0.22009,0.78329,0.000487805,0.000487805,0.000487805
18,10342.9,0.41406,0.33789,0.79877,0.99873,0.99691,0.99499,0.95862,0.30601,0.22832,0.77909,0.000473668,0.000473668,0.000473668
19,10899.5,0.40795,0.32915,0.79699,0.99879,0.99927,0.99498,0.96463,0.29468,0.21956,0.77768,0.00045953,0.00045953,0.00045953
20,11433.1,0.40399,0.32432,0.79698,0.99834,0.99945,0.995,0.96626,0.28754,0.21579,0.77562,0.000445393,0.000445393,0.000445393
21,11944.6,0.39822,0.3217,0.79793,0.99792,0.99843,0.99473,0.9615,0.29567,0.21822,0.77673,0.000431256,0.000431256,0.000431256
22,12431.2,0.39789,0.31671,0.79749,0.99928,0.99964,0.995,0.9684,0.27991,0.20547,0.77499,0.000417119,0.000417119,0.000417119
23,12900.7,0.38932,0.31051,0.79569,0.99954,0.9995,0.995,0.96956,0.27611,0.20382,0.77454,0.000402982,0.000402982,0.000402982
24,13408.3,0.38621,0.30588,0.79481,0.99921,0.99925,0.99493,0.97172,0.27297,0.20053,0.77435,0.000388844,0.000388844,0.000388844
25,13950.2,0.38276,0.30209,0.79494,0.99973,0.99986,0.995,0.9698,0.27575,0.20038,0.77391,0.000374707,0.000374707,0.000374707
26,14523.7,0.37751,0.29872,0.7938,0.99979,0.99921,0.995,0.97187,0.26956,0.19579,0.7732,0.00036057,0.00036057,0.00036057
27,15066,0.3732,0.2931,0.7926,0.99914,0.9997,0.995,0.97189,0.27103,0.19456,0.77413,0.000346433,0.000346433,0.000346433
28,15591.3,0.37004,0.28603,0.79216,0.99974,0.99956,0.995,0.97293,0.26827,0.19063,0.77352,0.000332296,0.000332296,0.000332296
29,16110.2,0.3656,0.28767,0.79197,0.9986,0.9988,0.99488,0.97447,0.26372,0.19092,0.77269,0.000318158,0.000318158,0.000318158
30,16632.7,0.36307,0.28274,0.79083,0.99929,0.99959,0.99499,0.97357,0.26254,0.18592,0.77265,0.000304021,0.000304021,0.000304021
31,17117.6,0.36126,0.27935,0.7925,0.99934,0.99972,0.995,0.97453,0.26308,0.18568,0.77269,0.000289884,0.000289884,0.000289884
32,17611.6,0.35999,0.27667,0.79145,0.99937,0.99971,0.995,0.97715,0.25507,0.18081,0.7716,0.000275747,0.000275747,0.000275747
33,18088.3,0.35291,0.27168,0.78925,0.99962,0.99966,0.995,0.97447,0.2603,0.18128,0.77231,0.00026161,0.00026161,0.00026161
34,18572.2,0.35048,0.26968,0.78879,0.99962,0.99992,0.995,0.97666,0.2545,0.17908,0.77116,0.000247472,0.000247472,0.000247472
35,19072.6,0.34853,0.26727,0.78843,0.99977,0.99969,0.995,0.97762,0.25273,0.17837,0.77089,0.000233335,0.000233335,0.000233335
36,19560.2,0.34539,0.26452,0.78912,0.99966,0.99962,0.995,0.97792,0.25055,0.17415,0.77093,0.000219198,0.000219198,0.000219198
37,20043,0.34258,0.26104,0.78887,0.99933,0.99962,0.995,0.97762,0.25133,0.17492,0.77057,0.000205061,0.000205061,0.000205061
38,20531.1,0.33709,0.25716,0.78754,0.99937,0.99953,0.99497,0.97843,0.24958,0.17185,0.77049,0.000190924,0.000190924,0.000190924
39,21014.9,0.33457,0.25319,0.78682,0.99969,0.99983,0.995,0.97836,0.24787,0.17051,0.7701,0.000176786,0.000176786,0.000176786
40,21506.9,0.3345,0.25261,0.78769,0.9998,0.99996,0.995,0.97852,0.24692,0.16854,0.77035,0.000162649,0.000162649,0.000162649
41,21988.2,0.28659,0.20346,0.77369,0.99965,0.99987,0.995,0.97984,0.24511,0.16824,0.77026,0.000148512,0.000148512,0.000148512
42,22449.7,0.28018,0.19945,0.77354,0.99948,0.99988,0.995,0.98104,0.24299,0.16611,0.76996,0.000134375,0.000134375,0.000134375
43,22926.2,0.27716,0.19632,0.77193,0.99969,1,0.995,0.98121,0.2428,0.16484,0.76952,0.000120238,0.000120238,0.000120238
